CustomerID,Education,Occupation,Gender,MaritalStatus,NumberChildrenAtHome,YearlyIncome,Age
11000,Bachelors ,Professional,M,M,0,137947,31.0
11001,Bachelors ,Professional,M,S,3,101141,32.0
11002,Bachelors ,Professional,M,M,3,91945,32.0
11003,Bachelors ,Professional,F,S,0,86688,29.0
11004,Bachelors ,Professional,F,S,5,92771,29.0
11005,Bachelors ,Professional,M,S,0,103199,32.0
11006,Bachelors ,Professional,F,S,0,84756,32.0
11007,Bachelors ,Professional,M,M,3,109759,33.0
11008,Bachelors ,Professional,F,S,4,88005,33.0
11009,Bachelors ,Professional,M,S,0,106399,33.0
11010,Bachelors ,Professional,F,S,0,81294,33.0
11011,Bachelors ,Professional,M,M,4,94029,34.0
11012,Bachelors ,Management,F,M,0,99245,29.0
11013,Bachelors ,Management,M,M,0,115859,29.0
11014,Bachelors ,Management,F,S,0,105157,29.0
11015,Partial College,Skilled Manual,F,S,0,40011,18.0
11016,Partial College,Skilled Manual,M,M,0,46808,18.0
11019,High School,Skilled Manual,M,S,0,49455,19.0
11020,High School,Skilled Manual,M,S,0,43857,19.0
11023,Partial College,Skilled Manual,M,M,0,50046,19.0
11024,Partial College,Skilled Manual,M,M,0,91276,19.0
11025,Partial High School,Clerical,M,M,1,24334,52.0
11026,Partial College,Clerical,M,S,0,61905,51.0
11027,Partial College,Clerical,M,M,0,49349,51.0
11028,Partial College,Clerical,F,M,0,44068,51.0
11031,High School,Skilled Manual,F,M,0,18843,50.0
11032,High School,Skilled Manual,F,M,0,15861,50.0
11033,High School,Skilled Manual,M,M,0,35822,50.0
11034,High School,Skilled Manual,F,M,0,29017,50.0
11035,Partial High School,Clerical,F,M,1,11721,49.0
11036,Partial College,Skilled Manual,F,M,0,84890,19.0
11037,Partial High School,Clerical,F,S,0,48651,20.0
15127,Bachelors ,Professional,M,S,0,129497,22.0
11040,Partial College,Skilled Manual,M,M,0,56248,20.0
11041,Partial College,Skilled Manual,F,M,0,78170,20.0
11042,Partial College,Skilled Manual,F,M,0,70623,20.0
11043,Partial College,Skilled Manual,M,M,0,78150,21.0
11044,Partial High School,Clerical,M,M,1,24007,48.0
11045,High School,Skilled Manual,M,S,0,51472,47.0
11046,High School,Skilled Manual,F,M,0,50798,47.0
11047,High School,Skilled Manual,F,M,0,42738,47.0
11049,Partial High School,Clerical,F,S,0,48422,17.0
11050,High School,Skilled Manual,M,M,0,58585,46.0
11051,High School,Skilled Manual,M,S,0,45982,46.0
11052,Partial College,Clerical,F,S,0,50790,46.0
11053,Partial College,Skilled Manual,F,M,0,91599,17.0
11054,Partial College,Skilled Manual,F,M,0,50018,45.0
11055,Partial College,Skilled Manual,M,M,0,53459,45.0
11056,Partial College,Skilled Manual,F,M,0,38588,44.0
11057,Graduate Degree,Management,M,M,0,119540,44.0
11058,Partial College,Skilled Manual,M,M,0,119982,43.0
11059,Partial College,Skilled Manual,F,S,0,86953,43.0
11060,Partial College,Skilled Manual,M,M,0,116368,43.0
11061,Partial College,Skilled Manual,M,M,0,110712,43.0
11062,High School,Skilled Manual,M,M,0,52145,22.0
11063,High School,Skilled Manual,F,S,0,49609,22.0
11064,High School,Skilled Manual,M,M,0,58306,22.0
11065,Partial College,Skilled Manual,F,M,0,73388,24.0
11066,Partial College,Professional,F,M,0,61686,24.0
11067,Partial College,Professional,M,S,0,96049,21.0
11070,High School,Skilled Manual,M,M,0,109883,42.0
11071,High School,Skilled Manual,F,S,0,106718,42.0
11072,High School,Skilled Manual,F,S,0,97646,42.0
11073,High School,Skilled Manual,F,S,0,58916,41.0
11074,High School,Skilled Manual,M,S,0,93934,41.0
11075,High School,Professional,F,S,0,99137,40.0
11076,High School,Professional,M,S,0,112044,40.0
11077,High School,Professional,F,S,0,108728,40.0
11078,High School,Professional,F,S,0,49084,23.0
11079,Graduate Degree,Management,M,S,0,172444,38.0
11080,Graduate Degree,Management,M,M,0,181590,38.0
11081,Bachelors ,Management,F,M,2,148109,31.0
11082,Graduate Degree,Management,F,S,1,149717,31.0
11083,Graduate Degree,Management,F,M,1,163913,31.0
11085,High School,Professional,F,S,0,66900,40.0
11086,Partial College,Professional,M,M,1,97834,40.0
11088,Bachelors ,Management,M,M,1,129910,40.0
11089,Bachelors ,Management,F,S,1,91729,40.0
11090,Partial College,Professional,M,S,0,113883,40.0
11091,Partial College,Professional,M,M,0,112820,40.0
11093,Graduate Degree,Management,F,M,0,106839,30.0
11094,Partial College,Skilled Manual,M,S,0,88887,35.0
11095,Partial College,Skilled Manual,M,S,0,108740,35.0
11096,Bachelors ,Professional,M,M,0,106971,35.0
11097,Partial College,Skilled Manual,M,M,0,98519,36.0
11098,Partial College,Skilled Manual,F,S,0,82707,36.0
11099,Bachelors ,Professional,M,M,0,103866,36.0
11100,Partial College,Skilled Manual,F,S,0,66520,37.0
11101,Bachelors ,Professional,F,S,0,75270,32.0
11102,Bachelors ,Professional,F,S,5,95167,32.0
11103,Bachelors ,Professional,F,S,0,85087,33.0
11104,Bachelors ,Professional,M,M,0,102445,33.0
11105,Bachelors ,Professional,F,S,0,88445,33.0
11106,Bachelors ,Professional,M,S,0,97782,33.0
11107,Bachelors ,Professional,F,M,0,117317,38.0
11109,Bachelors ,Professional,M,S,0,106891,34.0
11110,Partial College,Skilled Manual,M,M,0,77012,35.0
11111,Partial College,Skilled Manual,F,M,0,62702,35.0
11112,Partial College,Skilled Manual,F,M,0,73151,35.0
11113,Bachelors ,Professional,M,M,4,104220,35.0
16475,Partial High School,Manual,M,S,0,18709,24.0
11115,Partial College,Skilled Manual,M,M,4,93330,35.0
11116,Partial College,Skilled Manual,M,M,4,86770,35.0
11117,Partial College,Skilled Manual,F,M,4,73276,36.0
11119,Partial College,Clerical,M,S,0,51078,62.0
11120,Bachelors ,Management,F,S,0,52280,61.0
11122,Partial College,Skilled Manual,M,M,4,88615,37.0
11123,Partial College,Skilled Manual,M,M,4,102114,37.0
11124,Partial College,Skilled Manual,M,S,0,106875,40.0
11125,Partial College,Skilled Manual,F,S,0,65730,41.0
11126,High School,Skilled Manual,M,M,1,32857,48.0
11127,High School,Skilled Manual,F,M,0,46078,22.0
11129,High School,Skilled Manual,F,S,0,32122,22.0
11130,High School,Skilled Manual,F,M,0,34879,17.0
11131,High School,Skilled Manual,F,M,0,39266,17.0
11132,High School,Skilled Manual,F,S,0,44139,17.0
11133,Partial High School,Clerical,F,S,0,37010,17.0
11134,High School,Skilled Manual,M,S,0,26209,51.0
11135,Partial High School,Clerical,M,S,0,64613,18.0
11136,High School,Skilled Manual,F,S,0,38527,19.0
11137,High School,Skilled Manual,F,M,0,42811,19.0
11138,High School,Skilled Manual,F,M,0,48772,19.0
11139,Partial College,Clerical,F,S,0,27610,59.0
11140,Partial High School,Clerical,M,S,0,64633,20.0
11141,High School,Skilled Manual,F,M,0,32916,20.0
11142,High School,Skilled Manual,M,S,0,63488,20.0
11143,High School,Skilled Manual,M,M,0,43666,20.0
11144,High School,Skilled Manual,M,S,0,54938,18.0
11145,High School,Skilled Manual,F,S,0,29691,18.0
11146,Bachelors ,Management,F,S,0,66934,58.0
11147,Graduate Degree,Management,M,M,0,124211,58.0
11148,Bachelors ,Management,M,M,0,63251,56.0
11149,Bachelors ,Management,M,M,0,82448,56.0
11150,Bachelors ,Management,M,S,0,77855,56.0
11151,Graduate Degree,Management,F,S,0,94385,55.0
11152,High School,Skilled Manual,M,S,0,62553,21.0
11153,High School,Skilled Manual,F,M,0,37229,21.0
11154,Partial College,Skilled Manual,F,S,0,33375,21.0
11155,Partial College,Skilled Manual,M,S,0,60713,21.0
11157,High School,Skilled Manual,F,M,0,45639,22.0
11158,High School,Skilled Manual,M,S,0,57274,22.0
11159,High School,Skilled Manual,F,S,0,32033,22.0
11160,Partial College,Skilled Manual,M,S,0,54434,23.0
11161,Partial College,Skilled Manual,F,S,0,46024,23.0
11163,Partial College,Skilled Manual,M,M,0,56829,23.0
11164,Partial College,Skilled Manual,M,S,0,48946,23.0
11165,Partial College,Skilled Manual,F,M,0,89154,24.0
11166,Partial College,Skilled Manual,F,S,0,70041,25.0
11169,Bachelors ,Management,M,M,4,116323,29.0
11170,Bachelors ,Management,F,M,4,104668,29.0
11171,Bachelors ,Management,M,S,0,128776,30.0
11172,Bachelors ,Management,F,M,0,97616,30.0
11173,Graduate Degree,Management,F,S,0,151318,30.0
11174,Graduate Degree,Management,M,M,1,183231,30.0
11175,Partial College,Skilled Manual,M,S,0,98032,34.0
11176,Bachelors ,Management,M,M,4,140875,29.0
11177,Graduate Degree,Management,M,M,4,185657,55.0
11179,Graduate Degree,Management,F,M,4,141844,54.0
11180,Bachelors ,Management,F,M,3,145176,54.0
11181,Graduate Degree,Management,M,M,3,184504,54.0
11182,Bachelors ,Management,F,S,0,80891,53.0
11183,Bachelors ,Management,F,S,0,90366,53.0
11184,Bachelors ,Management,F,S,0,91037,53.0
11185,Bachelors ,Management,F,S,0,83404,53.0
11186,Bachelors ,Management,F,S,0,79819,53.0
11187,Graduate Degree,Management,F,M,0,85829,53.0
11188,Graduate Degree,Management,F,M,0,104279,53.0
11189,Graduate Degree,Management,M,S,0,121950,53.0
11190,Bachelors ,Management,M,M,0,95877,53.0
11191,Bachelors ,Management,F,S,0,80055,52.0
11192,Bachelors ,Management,M,M,0,112289,52.0
11193,Bachelors ,Management,M,M,0,111071,52.0
11194,Bachelors ,Management,F,M,0,89692,52.0
11195,Bachelors ,Management,F,M,0,86347,51.0
11196,Bachelors ,Management,M,M,0,96935,51.0
11197,Bachelors ,Management,F,M,1,86749,51.0
11198,Bachelors ,Management,F,S,1,84010,51.0
11199,Bachelors ,Management,F,M,1,81296,51.0
11200,Bachelors ,Management,M,M,1,101131,50.0
11201,Bachelors ,Management,F,M,1,83256,50.0
11202,Bachelors ,Management,F,M,0,96418,50.0
11203,High School,Professional,M,M,1,55404,49.0
11204,High School,Professional,F,M,1,50201,49.0
11205,High School,Professional,F,M,1,52116,49.0
11206,Partial College,Professional,M,M,1,96883,49.0
11208,Bachelors ,Management,F,M,1,81421,49.0
11209,Bachelors ,Management,F,M,1,73189,49.0
11210,Partial College,Professional,M,M,1,87565,49.0
11211,High School,Professional,F,M,1,50320,48.0
11212,High School,Professional,F,M,1,48200,48.0
11213,Partial College,Professional,F,S,1,69431,48.0
11214,Partial College,Professional,M,S,1,91233,48.0
11216,Partial College,Professional,F,S,1,79388,47.0
11217,Partial College,Professional,F,S,1,81490,47.0
11218,Partial College,Professional,F,S,1,76220,47.0
11219,High School,Professional,M,M,1,88557,47.0
11220,Partial College,Professional,F,M,1,98934,47.0
11221,Partial College,Professional,M,M,2,107014,47.0
11222,Bachelors ,Management,F,M,1,97838,47.0
11223,High School,Professional,F,S,1,93756,46.0
11224,High School,Professional,F,S,1,58807,46.0
11225,Partial College,Professional,F,M,1,75300,46.0
11226,Partial College,Professional,F,M,1,69781,46.0
11227,Partial College,Professional,M,S,1,107126,46.0
11228,Partial College,Professional,F,M,1,83120,46.0
11229,Partial College,Professional,M,S,2,79403,46.0
11230,Partial College,Professional,F,M,2,82373,46.0
11231,High School,Professional,M,M,1,82678,45.0
11232,High School,Professional,F,M,1,89815,45.0
11233,Partial College,Professional,M,M,2,95975,45.0
11234,Partial College,Professional,F,S,2,81567,45.0
11235,Partial College,Professional,M,M,2,97258,45.0
11236,Partial College,Professional,M,S,2,104005,45.0
11237,Bachelors ,Management,M,S,3,164291,39.0
11238,Bachelors ,Management,F,S,3,138418,39.0
11239,Partial College,Professional,F,M,4,123475,39.0
11240,Partial College,Professional,F,M,3,136555,39.0
11241,Partial College,Professional,F,S,3,114730,40.0
11242,Partial College,Professional,M,M,4,160265,40.0
11243,Partial College,Professional,F,M,3,131035,40.0
11244,Bachelors ,Management,F,S,3,139552,40.0
11245,High School,Professional,M,M,4,154573,41.0
11246,High School,Professional,F,M,4,136970,41.0
11248,Partial College,Professional,M,M,4,165394,42.0
11249,Partial College,Professional,F,M,4,128534,42.0
11250,High School,Professional,F,M,4,140179,42.0
11251,High School,Professional,M,S,0,50003,65.0
